ticker,company,price_usd,price_as_of,market_cap_usd,shares_outstanding,revenue_usd,ebitda_usd,net_income_usd,total_debt_usd,cash_usd,net_debt_usd,fiscal_year,financial_source,notes
010130,"Korea Zinc Co., Ltd.",781.2,2026-09-22,,,,,,,,,2025,Yahoo Finance quote (2026-09-22),price 1116000.0 KRW converted at 0.0007 USD/KRW; report not obtained; market cap not computed: shares outstanding undisclosed
1818,Zhaojin Mining Industry Company Limited,2.3384,2026-09-25,8283355149.0,3542393204,2690277099.0,,661522601.0,1753086171.0,271912037.0,1481174134.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 zhaojin-2025-annual-report.pdf,"price 18.34 HKD converted at 0.1275 USD/HKD; statements in CNY; FX 0.149 USD/CNY (Yahoo CNYUSD=X=0.149, 2026-09-25); debt: sum of debt line items: Interest-bearing bank and other borrowings 7,601,7; NON-CURRENT LIABILITIES Interest-bearing bank and; Lease liabilities 50,449 58,479; market cap computed as price x shares outstanding"
2259,Zijin Gold International Company Limited,18.2452,2026-09-25,,,5383480000.0,,1872467000.0,724693000.0,105672000.0,619021000.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 zijin-gold-international-2025-results.pdf,"price 143.1 HKD converted at 0.1275 USD/HKD; debt: sum of debt line items: Convertible debentures 70,859; Interest-bearing bank and other borrowings 158,070; Lease liabilities 21,660 18,987; NON-CURRENT LIABILITIES Interest-bearing bank and; Lease liabilities 50,655 32,270; market cap not computed: shares outstanding undisclosed"
340,Tongguan Gold Group Limited,0.3258,2026-09-25,1432603212.0,4397692221,131163968.0,,44686710.0,2240168115.0,99494498.0,2140673618.0,2025,Yahoo Finance quote (2026-09-25) + H1 FY2025 tongguan-2025-interim.pdf,"price 2.555 HKD converted at 0.1275 USD/HKD; statements in HKD; FX 0.1275 USD/HKD (Yahoo HKDUSD=X=0.1275, 2026-09-25); debt: sum of debt line items: Bank and other borrowings 17534,711 498,199; Lease liabilities 957 1,227; Non-current liabilities Bank and other borrowings; Lease liabilities 1,270 1,754; market cap computed as price x shares outstanding"
3939,Wanguo Gold Group Limited,1.7404,2026-09-25,,,471018800.0,,222993698.0,19618681.0,492892.0,19125789.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 wanguo-2025-annual-report.pdf,"price 13.65 HKD converted at 0.1275 USD/HKD; statements in CNY; FX 0.149 USD/CNY (Yahoo CNYUSD=X=0.149, 2026-09-25); debt: sum of debt line items: Lease liabilities 1,094 761; Bank borrowings 72,551 183,062; Non-current liabilities Bank borrowings 56,000 77,; Lease liabilities 2,024 2,283; market cap not computed: shares outstanding undisclosed"
6693,"Chifeng Jilong Gold Mining Co., Ltd.",4.5466,2026-09-25,,,,1883137428.0,513660807.0,7587934518.0,1016287364.0,6571647154.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 chifeng-2025-annual-report.pdf,"price 35.66 HKD converted at 0.1275 USD/HKD; statements in CNY; FX 0.149 USD/CNY (Yahoo CNYUSD=X=0.149, 2026-09-25); EBITDA figure is operating income (EBITDA undisclosed); debt: sum of debt line items: Short-term borrowings 20707,600,631.31 1,108,199,1; Long-term borrowings 69,617,398.59599,502,985.86; Lease liabilities 30148,516,989.79179,596,024.47; market cap not computed: shares outstanding undisclosed"
8299,GT Gold Holdings Limited,0.0344,2026-09-25,,,250684635.0,24543750.0,18395828.0,3348341122.0,2948246888.0,400094235.0,2026,Yahoo Finance quote (2026-09-25) + FY2026 gtgold-2025-26-annual-report.pdf,"price 0.27 HKD converted at 0.1275 USD/HKD; statements in HKD; FX 0.1275 USD/HKD (Yahoo HKDUSD=X=0.1275, 2026-09-25); EBITDA figure is operating income (EBITDA undisclosed); debt: sum of debt line items: Current liabilities 流動負債 Lease liabilities 租賃負債 24; Lease liabilities 租賃負債 180; Borrowings 借貸 26237,070 225,998; market cap not computed: shares outstanding undisclosed"
AAG,Aftermath Silver Ltd.,0.4738,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 aag.txt,price 0.67 CAD converted at 0.7071 USD/CAD; market cap not computed: shares outstanding undisclosed
AAUC,Allied Gold Corporation,22.309,2026-09-25,,,1331824000.0,138600000.0,3307000.0,169774000.0,479777000.0,-310003000.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 allied-gold-2025-q4-results.pdf,"price 31.55 CAD converted at 0.7071 USD/CAD; EBITDA figure is Adjusted EBITDA; debt: sum of debt line items: Borrowings 154,312 96,356; Lease obligations 2,999 2,877; Lease obligations 12,463 12,886; market cap not computed: shares outstanding undisclosed"
ABRA,AbraSilver Resource Corp.,8.959,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 abra-2025-mda.pdf,price 12.67 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
AEM,Agnico Eagle Mines Limited,194.48,2026-09-25,97389438432.0,500768400,11907851000.0,8440400000.0,4461461000.0,411470000.0,2866053000.0,-2454583000.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 agnico-2025-annual-report.pdf,"EBITDA figure is EBITDA; debt: sum of debt line items: Current portion of long-term debt 90,000; Lease obligations 30,480 40,305; Long-term debt 196,271 1,052,956; Lease obligations 94,719 98,921; market cap computed as price x shares outstanding"
AG,First Majestic Silver Corp.,19.01,2026-09-25,9385705596.0,493724650,1257157000.0,686100000.0,210975000.0,17010000.0,793435000.0,-776425000.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 firstmajestic-2025-40f.txt,"EBITDA figure is EBITDA; debt: sum of debt line items: Current portion of debt facilities 487 825; Current portion of lease liabilities 10,792 16,215; Lease liabilities 5,731 11,320; market cap computed as price x shares outstanding"
AGI,Alamos Gold Inc.,34.5,2026-09-25,,,,,,23000000.0,623100000.0,-600100000.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 alamos-2025-40f.txt,debt: sum of debt line items: Current portion of lease liabilities 11.8 15.2; Lease liabilities 11.2 21.4; market cap not computed: shares outstanding undisclosed
AGMR,Silver Mountain Resources Inc.,2.8001,2026-09-25,,,,,,108390.0,34075413.0,-33967023.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 agmr-2025-financials.pdf,"price 3.96 CAD converted at 0.7071 USD/CAD; debt: sum of debt line items: Current portion of lease liability 60,307 0; Lease liability 48,083 0; market cap not computed: shares outstanding undisclosed"
ALK,Alkane Resources Ltd,1.332,2026-09-24,,,184414250.0,,23225925.0,41698840.0,33801758.0,7897082.0,2025,Yahoo Finance quote (2026-09-24) + FY2025 alk-2025.txt,"price 1.895 AUD converted at 0.7029 USD/AUD; statements in AUD; FX 0.7029 USD/AUD (Yahoo AUDUSD=X=0.7029, 2026-09-25); debt: sum of debt line items: External borrowings 33,315 16,144; Non-current liabilities External borrowings 26,009; market cap not computed: shares outstanding undisclosed"
ALS.TO,Altius Minerals Corporation,47.2201,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 66.78 CAD converted at 0.7071 USD/CAD; no PDF or text file in report folder; market cap not computed: shares outstanding undisclosed
AMI,Aurelia Metals Limited,0.369,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24),price 0.525 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
AMMN,PT Amman Mineral Internasional Tbk,0.472,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 ammn-fy2025.txt,price 4720.0 IDR converted at 0.0001 USD/IDR; no financial statements found; market cap not computed: shares outstanding undisclosed
